unit_id,tm_id,PLT_CN,county,owner_class,owner_name,OWN_CODE,forest_branch,FORTYPCD,ForTypName,acres,stand_age,prescription,template,entry_years,n_entries,first_entry_year,last_entry_year,cuts,regen_slot,collapsed_to_no_management,notes,params
TM43326_Baker_O7,43326,374862340489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,45.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM43326_Baker_O7,43326,374862340489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,45.0,no_management,no_management,,0,,,False,,False,,
TM48672_Baker_O7,48672,448941001489998,Baker,state,State,7,pine,142,Slash pine,0.2223948433204488,32.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM48672_Baker_O7,48672,448941001489998,Baker,state,State,7,pine,142,Slash pine,0.2223948433204488,32.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM48672_Baker_O7,48672,448941001489998,Baker,state,State,7,pine,142,Slash pine,0.2223948433204488,32.0,pine_plantation_long_rotation,clearcut,2027,1,2027.0,2027.0,True,planted_pine_regen,False,thin dropped: stand is at or past rotation age,year=2027
TM48672_Baker_O7,48672,448941001489998,Baker,state,State,7,pine,142,Slash pine,0.2223948433204488,32.0,no_management,no_management,,0,,,False,,False,,
TM50202_Baker_O7,50202,451136963489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,21.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM50202_Baker_O7,50202,451136963489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,21.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM50202_Baker_O7,50202,451136963489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,21.0,no_management,no_management,,0,,,False,,False,,
TM43162_Baker_O7,43162,374861341489998,Baker,state,State,7,other,407,Slash pine / hardwood,0.2223948433204488,43.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM43162_Baker_O7,43162,374861341489998,Baker,state,State,7,other,407,Slash pine / hardwood,0.2223948433204488,43.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM43162_Baker_O7,43162,374861341489998,Baker,state,State,7,other,407,Slash pine / hardwood,0.2223948433204488,43.0,no_management,no_management,,0,,,False,,False,,
TM35215_Suwannee_O3,35215,259082814010854,Suwannee,private_family,Family Forest,3,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,120.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM35215_Suwannee_O3,35215,259082814010854,Suwannee,private_family,Family Forest,3,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,120.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM35215_Suwannee_O3,35215,259082814010854,Suwannee,private_family,Family Forest,3,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,120.0,no_management,no_management,,0,,,False,,False,,
TM50202_Suwannee_O7,50202,451136963489998,Suwannee,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,21.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM50202_Suwannee_O7,50202,451136963489998,Suwannee,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,21.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM50202_Suwannee_O7,50202,451136963489998,Suwannee,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,21.0,no_management,no_management,,0,,,False,,False,,
TM48525_Baker_O7,48525,448939977489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,100.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
