fvs_run_id,PLT_CN,prescription,cycles,first_year,last_year,total_removed_merch_cuft_per_ac,harvest_cycles,ending_ba,ending_merch_cuft_per_ac
176860271010854::hardwood_clearcut_regen,176860271010854,hardwood_clearcut_regen,10,2027,2072,3362.618408203125,1,107.29737854003906,1600.8359375
176860271010854::no_management,176860271010854,no_management,10,2027,2072,0.0,0,175.86752319335938,3955.97119140625
176860271010854::public_selection_light,176860271010854,public_selection_light,10,2027,2072,2368.4514770507812,4,138.81686401367188,2244.093017578125
176860271010854::public_thin_restore,176860271010854,public_thin_restore,10,2027,2072,50.85976791381836,3,175.04229736328125,4418.16943359375
176860391010854::family_light_thin,176860391010854,family_light_thin,10,2027,2072,148.16455078125,1,166.32809448242188,3146.10302734375
176860391010854::family_uneven_aged_selection,176860391010854,family_uneven_aged_selection,10,2027,2072,865.6583709716797,3,131.58956909179688,2457.941162109375
176860391010854::hardwood_clearcut_regen,176860391010854,hardwood_clearcut_regen,10,2027,2072,2277.655029296875,1,45.11749267578125,0.0
176860391010854::no_management,176860391010854,no_management,10,2027,2072,0.0,0,183.03216552734375,3461.81982421875
176860391010854::public_selection_light,176860391010854,public_selection_light,10,2027,2072,1113.5611877441406,4,111.2601547241211,2025.25537109375
176860391010854::public_thin_restore,176860391010854,public_thin_restore,10,2027,2072,383.39186096191406,3,133.1842803955078,2659.35693359375
176860474010854::family_light_thin,176860474010854,family_light_thin,10,2027,2072,67.52017211914062,1,182.30923461914062,2207.42724609375
176860474010854::family_uneven_aged_selection,176860474010854,family_uneven_aged_selection,10,2027,2072,540.6562881469727,3,173.22323608398438,2028.4986572265625
176860474010854::hardwood_clearcut_regen,176860474010854,hardwood_clearcut_regen,10,2027,2072,1033.5078125,1,73.12152099609375,341.0436096191406
176860474010854::no_management,176860474010854,no_management,10,2027,2072,0.0,0,184.27914428710938,2426.53125
176860474010854::public_selection_light,176860474010854,public_selection_light,10,2027,2072,618.2821731567383,4,157.25152587890625,1683.1429443359375
176860474010854::public_thin_restore,176860474010854,public_thin_restore,10,2027,2072,120.15192031860352,3,173.9866485595703,2173.125732421875
176860601010854::family_light_thin,176860601010854,family_light_thin,10,2027,2072,15.64731216430664,1,181.4185333251953,2572.2587890625
176860601010854::family_uneven_aged_selection,176860601010854,family_uneven_aged_selection,10,2027,2072,626.9991760253906,3,140.4972686767578,1930.7412109375
176860601010854::hardwood_clearcut_regen,176860601010854,hardwood_clearcut_regen,10,2027,2072,1117.625,1,106.07817840576172,30.315685272216797
176860601010854::no_management,176860601010854,no_management,10,2027,2072,0.0,0,187.1824493408203,2618.36181640625
176860601010854::public_selection_light,176860601010854,public_selection_light,10,2027,2072,788.2215423583984,4,130.12484741210938,1868.6812744140625
176860601010854::public_thin_restore,176860601010854,public_thin_restore,10,2027,2072,106.00887107849121,3,149.6707000732422,2394.4482421875
176860754010854::family_light_thin,176860754010854,family_light_thin,10,2027,2072,86.84889221191406,1,186.87042236328125,3902.0419921875
176860754010854::family_uneven_aged_selection,176860754010854,family_uneven_aged_selection,10,2027,2072,919.0330200195312,3,163.42950439453125,3268.730712890625
176860754010854::hardwood_clearcut_regen,176860754010854,hardwood_clearcut_regen,10,2027,2072,1775.540771484375,1,119.5140151977539,841.6223754882812
