fvs_run_id,PLT_CN,prescription,cycle,calendar_year,removed_merch_cuft_per_ac,base_prescription,offset_years
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,1,2027,14.84453010559082,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,2,2032,0.0,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,3,2037,0.0,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,4,2042,822.38818359375,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,5,2047,0.0,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,6,2052,0.0,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,7,2057,0.0,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,8,2062,0.0,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,9,2067,0.0,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,10,2072,0.0,pine_plantation_long_rotation,0
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,0,2022,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,1,2027,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,2,2032,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,3,2037,178.76832580566406,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,4,2042,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,5,2047,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,6,2052,1701.1962890625,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,7,2057,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,8,2062,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,9,2067,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,10,2072,0.0,pine_plantation_long_rotation,10
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,0,2022,0.0,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,1,2027,0.0,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,2,2032,0.0,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,3,2037,0.0,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,4,2042,287.6761779785156,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,5,2047,0.0,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,6,2052,0.0,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,7,2057,2274.59326171875,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,8,2062,0.0,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,9,2067,0.0,pine_plantation_long_rotation,15
